cell,LSA-NODE,STFT-FODE,ODE-RNN-FODE,Gated,Hybrid,Hyb-NoT
periodic_3d_a__regular,1.633370e-02,1.289228e-02,2.554578e-03,2.321383e-03,2.256182e-03,2.518989e-03
periodic_3d_a__irregular,1.483666e-02,1.289226e-02,1.094795e-02,1.082546e-02,1.088237e-02,9.752286e-03
